"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4570914771499","11.7852209426849","","11.6672708274076","11.2303534538277","11.1251610052377","11.7484195167137","12.0641680546618","12.2004027037491","12.1491104966734","12.2735405242511","13.5874243040804","13.7171401363348","13.1032811482672","","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21245599","5.45767879","3.60296822","3.38122058","2.7260592","2.61078191","3.00392056","2.51478314","2.2567358","2.18811917","1.37000275","1.77506959","1.86067402","2.01440597","2.14110541","2.31911564","1.90904689","1.77526009","4.24602795","3.96101093","1.12605727","1.46018374","","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73858261","5.96825457","4.19123077","4.26046801","5.65923882","4.8206377","4.7187376","4.51627111","4.0603714","5.77788925","4.24956799","4.58056879","4.20151329","4.57540083","3.61568022","4.56262541","5.43269682","5.36431932","5.36431932","5.5068841","7.30502176","8.77736568","6.69963503","5.89575672","","",
"Albania","ALB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17372704","8.42368317","8.20897484","8.99717617","9.35447502","9.30094719","9.0339222","9.37710953","7.25106478","7.21709204","8.09451294","8.29091167","8.69734573","8.83006287","8.17427826","8.80356598","9.88866711","9.51418209","9.88601398","10.04622459","9.18517017","9.1411314","12.30900955","12.28282261","","",
"Andorra","AND","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.41848755","18.42596626","30.31304932","30.21512604","27.70528984","18.77888107","23.28826904","21.89482689","24.80569077","16.87077713","24.52881241","23.76626968","15.37074852","11.1890831","21.67168999","15.75210571","11.59596729","14.12029457","14.52849674","14.57425785","15.05597019","15.79053783","15.87091827","15.19499683","","",
"Arab World","ARB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56610489","7.58357716","7.80031395","8.08750439","7.94020653","8.37682343","8.52716255","8.52688599","8.52666855","8.52688885","8.52679062","8.52676678","8.52671432","8.52679825","7.77782202","9.06668758","9.06668758","7.80896568","7.91993999","7.91993999","11.41091824","12.8867445","12.97939968","14.40998554","","",
"Argentina","ARG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.81966209","16.93632507","17.74765778","17.08436966","14.93299007","16.09741402","15.19339085","14.36670208","14.55631638","16.64416885","16.69724846","16.38767624","16.68478775","16.74073219","16.48707962","16.445961","15.8416214","16.25163269","15.68969917","16.31137466","16.45645332","16.75696182","15.7950449","16.34729767","","",
"Armenia","ARM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86989212","5.66264772","5.3255291","5.37522793","6.27547503","7.44000816","7.93185902","7.19854879","6.69246197","6.34490108","6.43608856","6.70101976","7.04075432","5.78087997","6.27526045","6.11530304","6.05354738","5.27347183","5.13385916","5.66885042","7.6896224","7.6349659","6.50275373","5.45642519","","",
"American Samoa","ASM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.86253166","12.11715889","10.65088367","12.44891071","12.12656689","11.53017235","8.368083","8.45184612","8.08106136","6.33139181","13.89639091","12.98978615","14.63236332","13.30073166","15.10593987","11.81753826","11.60688305","11.6073885","13.07453442","11.29999447","13.78379345","13.09404564","13.77371883","12.27995205","","",
"Australia","AUS","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.60132885","14.70855331","15.51416302","15.48101234","15.94705105","15.90276814","15.93996811","16.49022293","15.61295509","15.88237","16.11460304","16.32250404","16.18693733","15.40093613","17.63661766","18.28901672","18.54291153","18.58210754","18.52639008","17.12651825","17.06309319","19.29201126","20.24867249","21.00860023","","",
"Austria","AUT","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.34721375","13.24102306","13.48015594","13.56052971","12.99621677","13.6456871","13.7701931","14.05502892","14.36129475","13.75156307","13.96296597","14.30461502","14.47297001","14.29295731","14.50227928","14.78765869","14.90473557","15.48637295","15.7661314","16.07105827","15.19771099","16.88867569","16.32946968","16.19283485","","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75029039","4.79820633","3.19315743","3.57235146","3.55759931","3.95949173","3.42998004","3.49033976","2.75191212","3.28483939","3.17126107","2.81601381","3.04532456","2.82228613","3.10700679","3.37282634","3.28987098","2.82377267","2.67803526","3.28792715","5.79771805","4.60517836","3.64107466","4.2580843","","",
"Burundi","BDI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94454002","6.66263866","6.37957811","3.71581554","5.80384302","6.223104","6.48141956","6.32315588","3.78774738","5.4775238","4.86066389","8.22791386","7.11028194","4.43170166","9.79248333","10.44351768","9.90449238","8.35758591","7.90786219","7.90786219","7.33287811","7.33287811","4.72897339","4.72897339","","",
"Belgium","BEL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.06895447","12.43329906","12.28861809","13.30091095","14.17946815","13.29590225","13.94907475","13.94859219","14.31038952","14.38507843","14.42341805","14.23829556","14.21285248","14.30918312","14.49872303","15.34535408","15.57960796","15.91768551","15.87873363","15.62112808","14.92717075","15.45464802","15.18703079","14.93056774","","",
